product_id,product_name,product_url,price,stock_total,stock_per_size,sizes_available,category,brand,country_of_origin,shoe_model,material,shipped_from,rating,review_count,sold_count,description,image_urls,image_local_paths
253449367_48106436474,Nappa de Parfum x Scentrum - 1950s Melophile,https://shopee.co.id/Nappa-de-Parfum-x-Scentrum-1950s-Melophile-i.253449367.48106436474,969000.0,0,{},,Perawatan & Kecantikan > Parfum & Wewangian > Parfum & Wewangian Unisex,-,Indonesia,,,KAB. TANGERANG,5.0,1,8,"1950s Melophile
A collaborative fragrance that captures the warmth and nostalgic harmony of a mid-century music room.
A gentle hum reverberates throughout the music room as a vinyl record starts to play. The air is infused with a bright touch of citrus and lavender, mingling with the warm scents of mid-century wood and worn leather. Tobacco smoke wisps lazily beside a glass of whiskey resting near the piano, a familiar ritual of the 1950s era. As dusk deepens and the last rays of sunlight fade, the room fills with the aroma of cedar and sandalwood. The turntable continues its steady spin, weaving a captivating atmosphere of sound and nostalgia.
Top: Whiskey, Citrus, Lavender
Middle: Tobacco, Leather
Base: Cedar, Patchouli, Musk, Sandalwood
Eau de Parfum
30ml",https://down-id.img.susercontent.com/file/sg-11134201-8260n-ml4myzbk582369_tn,data/images/253449367_48106436474/img_0.jpg
253449367_18857995327,Leather Forever Black T-Shirt,https://shopee.co.id/Leather-Forever-Black-T-Shirt-i.253449367.18857995327,809000.0,0,"{""XS"": 4, ""S"": 4, ""M"": 0, ""L"": 4, ""XL"": 0}","XS, S, L",Pakaian Pria > Atasan > Kaos,-,,,Katun,KAB. TANGERANG,5.0,3,6,"Crafted from 100% cotton in color black and topped with a graphic printed at the front and back. Oversized fit t-shirt with short sleeves and a ribbed crew neck.
Product Details:
- 20 gsm
- 100% cotton
- Screenprinted graphics
- Oversized fit
- Ribbed neck
- Unisex",https://down-id.img.susercontent.com/file/sg-11134201-22100-distdam9u6iv73,data/images/253449367_18857995327/img_0.jpg
253449367_22559301163,Moss Derby Leopard - Nappa Milano - Sepatu Unisex,https://shopee.co.id/Moss-Derby-Leopard-Nappa-Milano-Sepatu-Unisex-i.253449367.22559301163,869000.0,0,"{""36"": 6, ""37"": 0, ""38"": 6, ""39"": 0, ""40"": 0, ""41"": 6, ""42"": 6, ""43"": 0, ""44"": 0, ""45"": 0}","36, 38, 41, 42",Sepatu Pria > Sepatu Pria Lainnya,NAPPA MILANO,,,,KAB. TANGERANG,5.0,15,24,"For packaging protection, please add bubble wrap to your order (will add 1 kg to your total order weight)
https://shopee.co.id/product/253449367/22320248351/
We created a new shape through Moss Derby to offer a less formal derby shoe with a roomy round-toes design, making it fit for most foot types. Moss Derby is unisex and has eight color options with various leather materials, offering endless possibilities and inconceivably vast options for your everyday look. They’re, in fact, classic, timeless and that versatile.
Upper: Nappa Leather & Animal Printed Leather
Insole: Phylon Injection Insole
Outsole: Lightweight Rubber
Construction: Cemented",https://down-id.img.susercontent.com/file/sg-11134201-7rbne-lqkbfl4y1eo41d,data/images/253449367_22559301163/img_0.jpg
253449367_52853818157,Lacy Ballet Flats Blush - Nappa Milano - Sepatu Flat Wanita,https://shopee.co.id/Lacy-Ballet-Flats-Blush-Nappa-Milano-Sepatu-Flat-Wanita-i.253449367.52853818157,989000.0,0,"{""36"": 25, ""37"": 25, ""38"": 25, ""39"": 25, ""40"": 25, ""41"": 0}","36, 37, 38, 39, 40",Sepatu Wanita > Sepatu Flat > Rounded Toe Flats,NAPPA MILANO,,,Kulit,KAB. TANGERANG,5.0,7,29,"A soft and feminine take on the classic ballet flat. Designed with an elastic strap for a touch of charm and a secure fit, the Lacy Ballet Flats add effortless elegance to your everyday looks — from casual strolls to dressier moments. Available in: White, Black, Red, and Silver.
Materials:
- Upper: Lamb Skin
- Lining: Textile
- Outsole: Lightweight Rubber
- Construction: Cementing",https://down-id.img.susercontent.com/file/sg-11134201-81zw9-mir31r8wm7lw08_tn,data/images/253449367_52853818157/img_0.jpg
253449367_22120680122,Bolt Canyon - Nappa Milano - Sepatu Sneakers Pria,https://shopee.co.id/Bolt-Canyon-Nappa-Milano-Sepatu-Sneakers-Pria-i.253449367.22120680122,849000.0,0,"{""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0}",,Sepatu Pria > Sneakers,NAPPA MILANO,,,,,5.0,6,20,"Every detail of this easy pair plays a part in being the shoes for your every move. The Bolt Canyon provides a more neutral earthy colour with its dark brown nubuck leather and black mesh garment. With its design that screams versatility and offers next-level comfort, this pair is made for everyone and every purpose– for a broader circle.
Available in two variants– Bolt Canyon and Bolt Hammer.
Materials:
- Upper: Nubuck Leather & Mesh Garment.
- Lining: Soft Garment.
- Outsole: EVA Rubber.",https://down-id.img.susercontent.com/file/sg-11134201-7rbmn-lqk9i2i0cfnede,data/images/253449367_22120680122/img_0.jpg
253449367_45202300917,Luther Penny Maroon - Nappa Milano - Sepatu Kulit Pria,https://shopee.co.id/Luther-Penny-Maroon-Nappa-Milano-Sepatu-Kulit-Pria-i.253449367.45202300917,739000.0,0,"{""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 14, ""45"": 14, ""46"": 0}","44, 45",Sepatu Pria > Sepatu Formal > Loafer,NAPPA MILANO,Indonesia,,Kulit,KAB. TANGERANG,4.9,56,185,"Meet the Luther Penny, an easy, polished loafer made for everyday wear. Crafted from soft Nappa leather and lined with smooth garment leather, it feels as good as it looks. The lightweight rubber sole keeps you comfortable on the move.
Easy to wear and easy to style, Luther Penny is available in Black, Brown, and Maroon. Luther effortlessly enhances your overall look, combining prestige with timeless appeal—the perfect choice for days when you want to look sharp without trying too hard.
Materials:
- Upper: Nappa leather
- Lining: Garment
- Outsole: Lightweight Rubber
- Construction: Cementing",https://down-id.img.susercontent.com/file/sg-11134201-82267-mhlz12ogy0oy0d,data/images/253449367_45202300917/img_0.jpg
253449367_57456236036,Leis Slides Beige - Nappa Milano - Sandal Unisex,https://shopee.co.id/Leis-Slides-Beige-Nappa-Milano-Sandal-Unisex-i.253449367.57456236036,979000.0,0,"{""36"": 0, ""37"": 0, ""38"": 2, ""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0}",38,Sepatu Pria > Sandal > Sandal Slide,NAPPA MILANO,,,Suede,KAB. TANGERANG,5.0,7,29,"Built for easy wear with a unique yet minimal shape. LEIS Slides feature a wide suede leather upper that offers coverage and a relaxed fit. The lambskin insole delivers softness and comfort, while the lightweight EVA rubber outsole ensures flexibility and support. Designed for effortless on-and-off wear with a clean, modern look.
Materials:
- Upper: Suede Leather
- Insole: Lamb skin
- Outsole: EVA Rubber
- Construction: Cemented",https://down-id.img.susercontent.com/file/sg-11134201-825zw-mkrq0aobz9xfce_tn,data/images/253449367_57456236036/img_0.jpg
253449367_19720878858,Pam Mary Jane Black - Nappa Milano - Sepatu Wanita,https://shopee.co.id/Pam-Mary-Jane-Black-Nappa-Milano-Sepatu-Wanita-i.253449367.19720878858,1049000.0,0,"{""36"": 38, ""37"": 38, ""38"": 0, ""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0}","36, 37",Sepatu Wanita > Sepatu Oxford,NAPPA MILANO,Indonesia,,,KAB. TANGERANG,4.9,183,487,"For packaging protection, please add bubble wrap to your order (will add 1 kg to your total order weight)
https://shopee.co.id/product/253449367/22320248351/
Mary-Jane with lightweight chunky outsole! The iconic T-strap from the 60's and the jet-black colour combined. Match this sweet pair with your midi dress to revivify the vintage 60's look!
Upper Material: Brush Off Leather
Outsole: Lightweight Rubber
Insole: Injected Rubber
Construction: Cemented
Lining: Soft Garment",https://down-id.img.susercontent.com/file/sg-11134201-7rdwf-lxi0hwwbvdr4cc,data/images/253449367_19720878858/img_0.jpg
253449367_21152625811,Croco Penny Brown - Nappa Milano - Sepatu Kulit Pria,https://shopee.co.id/Croco-Penny-Brown-Nappa-Milano-Sepatu-Kulit-Pria-i.253449367.21152625811,759000.0,0,"{""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0}",,Sepatu Pria > Sepatu Formal > Loafer,NAPPA MILANO,,,Kulit,,5.0,9,22,"For packaging protection, please add bubble wrap to your order (will add 1 kg to your total order weight)
https://shopee.co.id/product/253449367/22320248351/
Croco Penny defines sophistication and elegance suitable for your formal nights. With its croco-like texture and beautiful shade of brown, this pair is to-go for when you need that extra pep for your look.
Upper: Hand-painted Vegetable Leather
Outsole: Eva Rubber
Lining: Soft Garment",https://down-id.img.susercontent.com/file/sg-11134201-22100-w64lgb2g8civa6,data/images/253449367_21152625811/img_0.jpg
253449367_20646659700,CJ KANSAS ICY GREY - Nappa Milano,https://shopee.co.id/CJ-KANSAS-ICY-GREY-Nappa-Milano-i.253449367.20646659700,729000.0,0,"{""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0}",,Sepatu Wanita > Sepatu Oxford,NAPPA MILANO,Indonesia,,,,5.0,3,6,"For packaging protection, please add bubble wrap to your order (will add 1 kg to your total order weight)
https://shopee.co.id/product/253449367/22320248351/
Nappa Milano x CJ for Us exclusive collection.
CJ Kansas is a lace-up moccasin-style silhouette and construction with a clean yet appealing Nubuck leather upper. Featuring Nappa's signature comfortable soles, it is that one shoe to accompany your adventurous life.
Available in four striking colors; Black, Brown, Icy Grey & Pine Green.
Upper: Nubuck Leather
Insole: Soft Garment
Outsole: EVA Rubber
Construction: Blake Stitch",https://down-id.img.susercontent.com/file/ccf8750c2e2db1006d11fc0a944bd8c6,data/images/253449367_20646659700/img_0.jpg
253449367_23576345699,Ruby Classic Mules - Nappa Milano - Sepatu Wanita,https://shopee.co.id/Ruby-Classic-Mules-Nappa-Milano-Sepatu-Wanita-i.253449367.23576345699,1039000.0,0,"{""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""40"": 0, ""41"": 0}",,"Sepatu Wanita > Slip Ons, Mary Janes & Mules",NAPPA MILANO,Indonesia,,,,4.9,35,71,"For packaging protection, please add bubble wrap to your order (will add 1 kg to your total order weight)
https://shopee.co.id/product/253449367/22320248351/
The Mules (Ruby's Version) is here! Say hello to the chicer, more Parisian vibe look. The Ruby Classic Mules may come in a minimal upper design. But with its square toe and chunky sole, this classic pair is still eye-catching and flatters your look. Looks bare but still chic and rare!
Upper Material: Nappa Leather
Lining: Soft Garment
Outsole: Phylon Rubber
Construction: Cemented
Heel Height: 6cm",https://down-id.img.susercontent.com/file/sg-11134201-7rblm-lqokj3lmhy016b,data/images/253449367_23576345699/img_0.jpg
253449367_25569257670,Juno Penny Black - Nappa Milano - Sandal Unisex,https://shopee.co.id/Juno-Penny-Black-Nappa-Milano-Sandal-Unisex-i.253449367.25569257670,699000.0,0,"{""36"": 3, ""37"": 3, ""38"": 0, ""39"": 0, ""40"": 0, ""41"": 0, ""42"": 0, ""43"": 0, ""44"": 0, ""45"": 0}","36, 37",Sepatu Pria > Sandal > Sandal Slide,NAPPA MILANO,Indonesia,,Kulit,KAB. TANGERANG,5.0,65,152,"Juno Penny is a comfortable, stylish slip-on mule with a classic penny upper design. Available in various colors and materials, Juno Penny is a must-have addition to every men's and women's shoe collection! Don't believe us? Try it for yourself. Because with Juno, You Know.
Materials:
Upper: Nappa Leather
Insole: Soft Garment
Outsole: IU Rubber
Construction: Cemented",https://down-id.img.susercontent.com/file/sg-11134201-7rcfc-lswlrt0atq4m5c,data/images/253449367_25569257670/img_0.jpg
253449367_44223223951,Lacy Ballet Flats Red - Nappa Milano - Sepatu Flat Kulit Wanita,https://shopee.co.id/Lacy-Ballet-Flats-Red-Nappa-Milano-Sepatu-Flat-Kulit-Wanita-i.253449367.44223223951,749000.0,0,"{""36"": 0, ""37"": 13, ""38"": 13, ""39"": 13, ""40"": 0, ""41"": 0}","37, 38, 39",Sepatu Wanita > Sepatu Flat > Rounded Toe Flats,NAPPA MILANO,Indonesia,,,KAB. TANGERANG,4.9,26,98,"A soft and feminine take on the classic ballet flat. Designed with an elastic strap for a touch of charm and a secure fit, the Lacy Ballet Flats add effortless elegance to your everyday looks — from casual strolls to dressier moments. Available in: White, Black, Red, and Silver.
Materials:
- Upper: Lamb Skin
- Lining: Textile
- Outsole: Lightweight Rubber
- Construction: Cementing",https://down-id.img.susercontent.com/file/sg-11134201-824hv-mfl4t55srkehd4_tn,data/images/253449367_44223223951/img_0.jpg
253449367_20277867186,Leon Mules Broken White Nappa Milano,https://shopee.co.id/Leon-Mules-Broken-White-Nappa-Milano-i.253449367.20277867186,849000.0,0,"{""36"": 0, ""37"": 0, ""38"": 0, ""39"": 0, ""40"": 0, ""41"": 0, ""42"": 5, ""43"": 5, ""44"": 5, ""45"": 5}","42, 43, 44, 45",Sepatu Wanita > Sandal > Sandal Flat,NAPPA MILANO,Indonesia,,Kulit,KAB. TANGERANG,5.0,19,55,"Leon Mules
In a hurry but still seeking comfort and elegance? Leon Mules is your answer! Leon is an easygoing, breathable and unique sandal collection with its Mexican huarache's woven-inspired design and a gold coin detail accentuating its elegance. With the mule design, Leon Mules is a failsafe style option for your wardrobe for warm weather, beach days or relaxing days at home. They're easy to coordinate with your everyday outfits!
Available in black, brown and broken white colours.
Materials:
- Nappa Leather.",https://down-id.img.susercontent.com/file/sg-11134201-7rbm5-lmqzw7ur0iu272,data/images/253449367_20277867186/img_0.jpg
